# Stock data for AAPL.US from 2025-08-05 to 2026-08-05
# Total records: 251
# Data retrieved on: 2026-08-05 14:21:50

Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2026-06-30,281.17,289.94,280.7,289.36,65100200,0.0,0.0
2026-07-01,293.44,296.59,289.2,294.38,50164200,0.0,0.0
2026-07-02,294.12,309.42,293.68,308.63,75352800,0.0,0.0
2026-07-06,307.36,314.2,307.0,312.66,53590000,0.0,0.0
2026-07-07,315.29,315.48,310.15,310.66,42490000,0.0,0.0
2026-07-08,311.91,314.82,307.05,313.39,41323500,0.0,0.0
2026-07-09,310.51,316.53,308.16,316.22,48124500,0.0,0.0
2026-07-10,314.72,316.91,312.17,315.32,34132300,0.0,0.0
2026-07-13,317.02,323.45,315.78,317.31,43257800,0.0,0.0
2026-07-14,313.76,316.19,311.91,314.86,36336800,0.0,0.0
2026-07-15,317.62,328.73,317.32,327.5,60957600,0.0,0.0
2026-07-16,328.01,334.68,326.79,333.26,62970600,0.0,0.0
2026-07-17,331.98,334.99,329.0,333.74,63407100,0.0,0.0
2026-07-20,333.51,333.71,323.68,326.59,53468000,0.0,0.0
2026-07-21,323.13,329.6,322.22,327.74,41338900,0.0,0.0
2026-07-22,327.87,329.0,323.34,325.89,38755900,0.0,0.0
2026-07-23,321.73,323.3,319.35,321.66,40840800,0.0,0.0
2026-07-24,321.79,334.37,321.62,333.02,47489400,0.0,0.0
2026-07-27,334.54,339.57,334.02,336.91,49604300,0.0,0.0
2026-07-28,340.03,342.89,335.6,340.08,51859000,0.0,0.0
2026-07-29,339.73,344.57,337.35,338.19,56090800,0.0,0.0
2026-07-30,333.1,334.75,329.59,333.43,74817800,0.0,0.0
2026-07-31,304.81,310.69,300.0,308.91,132489100,0.0,0.0
2026-08-03,309.58,311.8,302.56,303.42,75052000,0.0,0.0
2026-08-04,302.73,310.42,301.32,309.38,67882600,0.0,0.0
